# Generation Best_Length AvgBestHalf
0 323.928 428.917
1 295.601 342.917
2 280.798 315.635
3 271.893 298.465
4 261.35 287.568
5 248.539 278.278
6 244.8 269.083
7 240.326 260.929
8 229.949 253.079
9 226.188 245.038
10 220.549 238.046
11 212.531 231.935
12 200.288 225.459
13 198.569 218.401
14 197.031 213.773
15 191.935 209.42
16 186.323 206.065
17 182.962 202.1
18 179.028 198.521
19 170.857 195.304
20 169.548 191.754
21 164.499 188.78
22 158.865 185.633
23 158.081 181.904
24 157.323 178.689
25 156.547 175.891
26 154.98 173.105
27 153.227 170.01
28 151.017 167.391
29 150.055 165.89
30 148.238 164.115
31 146.264 162.06
32 145.182 159.648
33 142.309 157.939
34 138.084 155.971
35 135.208 153.669
36 134.46 151.386
37 133.282 149.534
38 132.089 147.905
39 131.241 146.161
40 130.847 144.684
41 129.877 143.42
42 129.444 142.007
43 125.468 140.894
44 125.217 139.329
45 124.014 137.774
46 121.057 136.314
47 118.577 134.976
48 118.577 133.555
49 118.218 132.683
50 117.015 131.916
51 116.347 131.081
52 115.144 130.264
53 114.214 129.581
54 113.875 128.791
55 113.785 127.783
56 113.151 126.981
57 113.151 126.338
58 112.529 125.597
59 112.482 124.712
60 112.084 123.79
61 111.147 123.185
62 111.128 122.384
63 110.002 121.413
64 108.493 120.563
65 108.262 119.871
66 107.863 119.086
67 107.158 118.359
68 106.327 117.707
69 105.675 117.055
70 105.675 116.201
71 104.97 115.362
72 104.37 114.485
73 103.975 113.717
74 103.704 112.756
75 102.79 112.215
76 102.389 111.759
77 102.094 111.343
78 101.879 110.725
79 101.695 110.215
80 101.387 109.636
81 101.158 109.107
82 100.973 108.462
83 100.221 107.878
84 99.7986 107.336
85 99.7986 106.575
86 98.6981 106.095
87 98.4539 105.674
88 97.1541 105.148
89 95.5271 104.551
90 95.4825 103.865
91 95.4252 103.226
92 95.4252 102.713
93 95.4252 102.256
94 95.0534 101.866
95 94.5177 101.626
96 94.0678 101.176
97 93.3586 100.89
98 93.3586 100.526
99 92.1387 100.067
100 92.1387 99.762
101 92.1387 99.4463
102 92.1387 99.0427
103 91.4916 98.6997
104 91.4916 98.4672
105 91.2384 98.1463
106 90.8534 97.7819
107 90.5963 97.4698
108 89.7694 97.1851
109 89.5374 96.671
110 89.4368 96.245
111 89.0123 96.0393
112 87.961 93.1669
113 86.0328 89.084
114 85.3919 88.7468
115 85.2379 88.4268
116 84.9328 88.1704
117 84.597 87.9744
118 84.597 87.7802
119 84.597 87.6015
120 84.3168 87.4308
121 83.9766 87.2791
122 83.4367 87.0995
123 83.3547 86.8408
124 83.2743 86.4859
125 83.0183 86.2637
126 82.9071 86.0878
127 82.8267 85.8933
128 82.8267 85.7552
129 82.8267 85.6346
130 82.648 85.4748
131 82.648 85.3268
132 82.648 85.2488
133 82.5834 85.1021
134 81.1904 84.9066
135 81.1904 84.7266
136 81.1904 84.4397
137 81.1904 84.1963
138 81.1904 84.0391
139 81.1579 83.9206
140 81.1579 83.831
141 80.5133 83.7027
142 79.9652 83.4528
143 79.9652 83.097
144 79.9652 82.6665
145 79.9652 82.4544
146 79.9652 82.3213
147 79.9652 82.0865
148 79.7352 81.7246
149 79.1313 81.5175
150 78.8241 81.365
151 78.8241 81.2192
152 78.8241 81.0237
153 78.8241 80.8959
154 78.8241 80.8521
155 78.658 80.8248
156 78.658 80.7094
157 78.658 80.5487
158 78.658 80.4659
159 78.658 80.4222
160 77.7804 80.3273
161 77.0792 80.1598
162 76.8145 79.9536
163 76.8145 79.8857
164 76.8145 79.7862
165 76.8145 79.6597
166 76.8145 79.5845
167 75.9119 79.5375
168 75.6657 79.4634
169 75.6657 79.2966
170 75.6657 79.1285
171 75.6657 78.9921
172 75.6657 78.9349
173 75.6657 78.8581
174 75.6657 78.7281
175 75.4352 78.6223
176 74.8577 78.4899
177 74.5244 78.1971
178 74.4717 78.0549
179 74.4717 77.9512
180 74.4717 77.885
181 74.1439 77.827
182 74.1439 77.7821
183 74.1439 77.6186
184 73.8505 77.5533
185 73.8505 77.4829
186 73.8505 77.2495
187 73.8505 76.9201
188 73.8505 76.8141
189 73.8505 76.7849
190 73.7791 76.696
191 73.4753 76.6129
192 73.4753 76.5631
193 73.4753 76.524
194 73.4753 76.4685
195 73.4753 76.4041
196 73.4753 76.353
197 73.4753 76.3203
198 73.4753 76.3197
199 73.4753 76.304
200 73.4753 76.2736
201 73.4753 76.2278
202 73.4753 76.171
203 73.4753 76.0894
204 73.4753 76.0162
205 73.4753 75.9285
206 73.4753 75.8717
207 73.4753 75.8666
208 73.3296 75.8527
209 73.3296 75.8249
210 73.3296 75.8007
211 73.3296 75.7781
212 73.3296 75.7765
213 73.3296 75.7649
214 73.3296 75.7333
215 73.3296 75.7447
216 73.3296 75.6869
217 73.3296 75.6581
218 73.3296 75.6223
219 73.3296 75.5933
220 73.3296 75.5805
221 73.3296 75.5539
222 73.3296 75.4888
223 71.1089 74.7217
224 71.1089 73.0874
225 70.8486 72.1169
226 70.7959 71.8405
227 70.7959 71.6937
228 70.7959 71.6164
229 70.4786 71.5889
230 70.275 71.5194
231 70.2474 71.3901
232 70.0438 71.3391
233 70.0438 71.2906
234 70.0438 71.2242
235 70.0438 71.1752
236 70.0438 71.1701
237 69.9821 71.1553
238 69.7589 71.1166
239 69.7589 71.0561
240 69.7589 70.9786
241 69.7589 70.9476
242 69.7589 70.9295
243 69.715 70.899
244 69.715 70.8781
245 69.715 70.8688
246 69.715 70.8592
247 69.715 70.8474
248 69.715 70.8186
249 69.715 70.793
250 69.4745 70.7682
251 69.4745 70.7288
252 69.4554 70.6839
253 69.4554 70.6503
254 69.4554 70.6373
255 69.4554 70.6182
256 69.4554 70.592
257 69.4554 70.5712
258 69.4554 70.5537
259 69.3999 70.5475
260 69.3999 70.5373
261 69.3999 70.5237
262 69.3999 70.5228
263 69.3999 70.522
264 69.3999 70.5035
265 69.3478 70.4512
266 69.0609 70.382
267 69.0609 70.3165
268 69.0609 70.2746
269 69.0609 70.2516
270 69.0609 70.2363
271 69.0609 70.2088
272 69.0609 70.1661
273 69.0609 70.1555
274 69.0609 70.1416
275 69.0609 70.13
276 69.0609 70.1266
277 69.0609 70.1266
278 69.0609 70.1263
279 68.713 70.0965
280 68.713 70.0418
281 68.713 70.0221
282 68.5333 70.0051
283 68.5333 69.9847
284 68.5333 69.9725
285 68.5333 69.9719
286 68.5333 69.9719
287 68.5333 69.9713
288 68.4716 69.9702
289 68.4425 69.9676
290 68.4425 69.9603
291 68.4425 69.9493
292 68.4425 69.9401
293 68.4425 69.9366
294 68.1428 69.9354
295 68.1428 69.8881
296 68.1428 69.8053
297 68.1428 69.7865
298 68.1428 69.7848
299 68.1428 69.7733
