# Generation Best_Length AvgBestHalf
0 323.928 428.917
1 295.601 342.917
2 280.798 315.635
3 271.893 298.465
4 261.35 287.568
5 248.539 278.278
6 244.8 269.083
7 240.326 260.929
8 229.949 253.079
9 226.188 245.038
10 220.549 238.046
11 212.531 231.935
12 200.288 225.459
13 198.569 218.401
14 197.031 213.773
15 191.935 209.42
16 186.323 206.065
17 182.962 202.1
18 179.028 198.521
19 170.857 195.304
20 169.548 191.754
21 164.499 188.78
22 158.865 185.633
23 158.081 181.904
24 157.323 178.689
25 156.547 175.891
26 154.98 173.105
27 153.227 170.01
28 151.017 167.391
29 150.055 165.89
30 148.238 164.115
31 146.264 162.06
32 145.182 159.648
33 142.309 157.939
34 138.084 155.971
35 135.208 153.669
36 134.46 151.386
37 133.282 149.534
38 132.089 147.905
39 131.241 146.161
40 130.847 144.684
41 129.877 143.42
42 129.444 142.007
43 125.468 140.894
44 125.217 139.329
45 124.014 137.774
46 121.057 136.314
47 118.577 134.976
48 118.577 133.555
49 118.218 132.683
50 117.015 131.916
51 116.347 131.081
52 115.144 130.264
53 114.214 129.581
54 113.875 128.791
55 113.785 127.783
56 113.151 126.981
57 113.151 126.338
58 112.529 125.597
59 112.482 124.712
60 112.084 123.79
61 111.147 123.185
62 111.128 122.384
63 110.002 121.413
64 108.493 120.563
65 108.262 119.871
66 107.863 119.086
67 107.158 118.359
68 106.327 117.707
69 105.675 117.055
70 105.675 116.201
71 104.97 115.362
72 104.37 114.485
73 103.975 113.717
74 103.704 112.756
75 102.79 112.215
76 102.389 111.759
77 102.094 111.343
78 101.879 110.725
79 101.695 110.215
80 101.387 109.636
81 101.158 109.107
82 100.973 108.462
83 100.221 107.878
84 99.7986 107.336
85 99.7986 106.575
86 98.6981 106.095
87 98.4539 105.674
88 97.1541 105.148
89 95.5271 104.551
90 95.4825 103.865
91 95.4252 103.226
92 95.4252 102.713
93 95.4252 102.256
94 95.0534 101.866
95 94.5177 101.626
96 94.0678 101.176
97 93.3586 100.89
98 93.3586 100.526
99 92.1387 100.067
100 92.1387 99.762
101 92.1387 99.4463
102 92.1387 99.0427
103 91.4916 98.6997
104 91.4916 98.4672
105 91.2384 98.1463
106 90.8534 97.7819
107 90.5963 97.4698
108 89.7694 97.1851
109 89.5374 96.671
110 89.4368 96.245
111 89.0123 96.0393
112 88.7045 95.7633
113 88.4525 95.3571
114 88.3479 95.1243
115 87.6013 94.862
116 86.7846 94.547
117 86.7846 94.1462
118 86.3406 93.7198
119 86.3406 93.4766
120 86.2633 93.2269
121 86.2633 92.993
122 83.8577 92.8178
123 83.1813 92.3992
124 83.1813 91.9305
125 82.7541 91.7179
126 82.7541 91.5719
127 82.649 91.3203
128 82.649 91.0509
129 82.649 90.7764
130 82.27 90.5823
131 82.2133 90.3725
132 82.1169 90.0967
133 82.1169 89.7473
134 81.6442 89.393
135 81.6442 89.0264
136 81.6442 88.6499
137 81.6442 88.2692
138 81.6442 88.0246
139 81.6442 87.8514
140 81.6442 87.545
141 81.3358 87.2695
142 81.1744 87.0536
143 81.1744 86.8882
144 81.1744 86.8098
145 80.5118 86.7168
146 80.5118 86.526
147 80.4666 86.3382
148 80.3937 86.1112
149 79.9653 85.9732
150 79.8456 85.8185
151 79.1213 85.6235
152 78.9825 85.4742
153 78.9825 85.2935
154 78.9825 85.1646
155 78.9825 85.0671
156 78.4076 84.9629
157 78.4076 84.817
158 78.4076 84.6676
159 78.4076 84.6164
160 78.4076 84.4942
161 78.4076 84.3695
162 78.4076 84.2544
163 77.9572 84.1267
164 77.9572 84.0061
165 77.9314 83.8139
166 77.9314 83.6432
167 77.5904 83.5559
168 77.4709 83.4798
169 77.4709 83.384
170 77.4709 83.1713
171 77.4709 82.8872
172 77.1136 82.7853
173 77.1136 82.6789
174 76.9009 82.5883
175 76.3783 82.3869
176 76.1656 82.0392
177 76.1083 81.9069
178 76.1083 81.8502
179 76.1083 81.755
180 76.1083 81.6437
181 76.1083 81.5592
182 76.02 81.4407
183 75.6632 81.2675
184 75.3153 81.0564
185 74.9584 80.8452
186 74.9584 80.7415
187 74.6058 80.6205
188 74.6058 80.496
189 74.5258 80.3983
190 74.5258 80.3616
191 74.5258 80.3112
192 74.5258 80.2288
193 74.4231 80.1466
194 74.4231 80.0509
195 74.4231 79.9674
196 74.4231 79.9379
197 74.4108 79.9104
198 74.4108 79.8857
199 74.2039 79.8451
200 74.1836 79.7573
201 73.9766 79.6155
202 73.9766 79.4699
203 73.9766 79.3326
204 73.9766 79.2644
205 73.9766 79.2629
206 73.9766 79.2398
207 73.9766 79.1512
208 72.6493 78.9938
209 72.6493 78.8588
210 72.6493 78.6963
211 72.6493 78.6133
212 72.6493 78.5368
213 72.6493 78.4829
214 72.6493 78.4549
215 72.6493 78.44
216 72.6493 78.425
217 72.6493 78.4345
218 72.6493 78.3545
219 72.6493 78.2967
220 72.6493 78.2627
221 72.6493 78.1993
222 72.6493 77.8383
223 72.6493 77.5706
224 72.6493 77.5216
225 72.6311 77.5101
226 72.6311 77.4788
227 72.6311 77.4285
228 72.6311 77.3892
229 72.6311 77.3714
230 72.6311 77.3238
231 72.2614 77.2247
232 72.2614 77.176
233 72.2614 77.0379
234 72.2614 76.9837
235 72.2614 76.9456
236 72.2614 76.834
237 72.2614 76.6515
238 72.2614 76.4152
239 72.2614 76.3252
240 72.2273 76.2672
241 72.2273 76.2374
242 72.2273 76.2071
243 72.2273 76.1903
244 72.2273 76.1801
245 71.8297 76.1462
246 71.4904 76.0439
247 71.4904 75.946
248 71.4904 75.8803
249 71.4904 75.8398
250 71.4904 75.8251
251 71.4904 75.7945
252 71.4904 75.7412
253 70.5876 75.704
254 70.5876 75.6262
255 70.3117 75.5552
256 70.2459 75.5179
257 70.2459 75.4797
258 70.2459 75.4734
259 70.2459 75.4525
260 70.1517 75.4142
261 69.5131 75.3621
262 69.4225 75.2536
263 69.4225 75.1525
264 69.4225 75.1428
265 69.4225 75.138
266 69.4225 75.1048
267 69.4077 75.0491
268 69.4077 75.0355
269 69.4077 75.0101
270 69.2678 74.9389
271 69.2678 74.8604
272 69.2678 74.8237
273 69.2678 74.7979
274 69.2678 74.7957
275 69.2678 74.7921
276 69.2678 74.7772
277 69.2678 74.7269
278 69.2678 74.664
279 69.2678 74.6598
280 69.2678 74.6478
281 69.2678 74.605
282 69.2678 74.5628
283 69.2678 74.5293
284 69.2678 74.507
285 69.2678 74.4658
286 69.2678 74.4246
287 69.2678 74.4152
288 69.2678 74.3955
289 69.2678 74.3693
290 69.1019 74.3574
291 68.6096 74.3201
292 68.6096 74.2561
293 68.6096 74.2316
294 68.6096 74.208
295 68.6096 74.1931
296 68.6096 74.1842
297 68.6096 74.1838
