#  VELOCITY:   AVE_POFV:      ERROR:
   0.0733333   0.0114299 0.000652871
        0.22   0.0852888  0.00143516
    0.366667    0.223874  0.00365147
    0.513333    0.394857  0.00499635
        0.66    0.561179   0.0064049
    0.806667    0.681049  0.00574082
    0.953333    0.766785  0.00420253
         1.1    0.773205  0.00589683
     1.24667    0.745352   0.0063005
     1.39333     0.65349  0.00532045
        1.54     0.54723  0.00436168
     1.68667    0.435067  0.00546037
     1.83333    0.326094  0.00434177
        1.98    0.230542   0.0039545
     2.12667    0.156765  0.00285883
     2.27333   0.0968542  0.00218976
        2.42   0.0579616  0.00148257
     2.56667   0.0328964  0.00163936
     2.71333    0.018402  0.00119335
        2.86  0.00961603 0.000681512
     3.00667   0.0053615 0.000532368
     3.15333  0.00254735 0.000401052
         3.3  0.00126105 0.000296595
     3.44667 0.000460859 0.000140377
     3.59333 0.000227273 9.15567e-05
        3.74 0.000142326   7.447e-05
     3.88667 9.03456e-05 5.21387e-05
     4.03333 7.10227e-05 4.44098e-05
        4.18 7.57576e-05 4.65741e-05
     4.32667 7.89141e-06  7.6916e-06
