# VELOCITY:     AVE_POFV:        ERROR:
    0.133333   0.0104214  0.00096176
         0.4   0.0799804  0.00398123
    0.666667    0.205014    0.005851
    0.933333    0.334977  0.00580501
         1.2    0.431411  0.00741378
     1.46667    0.502838  0.00543156
     1.73333    0.496282  0.00803979
           2    0.455443  0.00855605
     2.26667    0.385498   0.0077147
     2.53333    0.294871  0.00779442
         2.8    0.209685  0.00518681
     3.06667    0.138677  0.00497893
     3.33333   0.0940363  0.00350371
         3.6   0.0568543  0.00294286
     3.86667   0.0319094  0.00263514
     4.13333   0.0137694  0.00136209
         4.4  0.00532378 0.000855741
     4.66667  0.00146406 0.000366411
     4.93333  0.00112326  0.00036818
         5.2 0.000352951 0.000224705
     5.46667 6.77083e-05 4.29676e-05
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
