#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.385216   -0.385216           0
           2   -0.341436   -0.363326   0.0154786
           3   -0.397943   -0.374865   0.0139732
           4     -0.3971   -0.380424   0.0115326
           5   -0.405228   -0.385385   0.0102376
           6   -0.394441   -0.386894  0.00864185
           7   -0.396525    -0.38827  0.00751604
           8   -0.380098   -0.387248  0.00664558
           9   -0.385074   -0.387007  0.00591157
          10   -0.366312   -0.384937  0.00567108
          11   -0.400981   -0.386396  0.00533978
          12    -0.37098   -0.385111  0.00504696
          13   -0.376177   -0.384424   0.0047053
          14   -0.365153   -0.383047  0.00456611
          15   -0.385132   -0.383186  0.00426381
          16   -0.363275   -0.381942  0.00417499
          17   -0.395363   -0.382731  0.00400334
          18   -0.421688   -0.384896  0.00432658
          19   -0.378857   -0.384578  0.00411052
          20   -0.416991   -0.386198  0.00421238
