#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.32167     1.32167           0
           2     1.29245     1.30706   0.0103302
           3      1.3301     1.31474  0.00931507
           4     1.32954     1.31844   0.0076861
           5     1.33493     1.32174  0.00681998
           6      1.3278     1.32275  0.00575768
           7     1.32917     1.32367  0.00500762
           8     1.31822     1.32298  0.00442773
           9     1.32151     1.32282  0.00393881
          10     1.30907     1.32145  0.00377724
          11     1.33215     1.32242  0.00355691
          12     1.31213     1.32156  0.00336227
          13     1.31568     1.32111  0.00313394
          14     1.30826     1.32019  0.00304152
          15     1.32157     1.32028  0.00284013
          16     1.30701     1.31945  0.00278116
          17     1.32834     1.31998  0.00266621
          18     1.34593     1.32142  0.00288169
          19     1.31742     1.32121  0.00273769
          20     1.34278     1.32229  0.00280528
