#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59728     1.59728           0
           2     1.59724     1.59726 1.66677e-05
           3     1.59721     1.59724 1.71133e-05
           4     1.59721     1.59724 1.48017e-05
           5     1.59717     1.59722 1.67301e-05
           6     1.59726     1.59723 1.51003e-05
           7     1.59723     1.59723 1.29552e-05
           8     1.59723     1.59723 1.13358e-05
           9     1.59718     1.59722 1.10744e-05
          10      1.5973     1.59723 1.21198e-05
          11     1.59724     1.59723 1.10383e-05
          12     1.59721     1.59723 1.02278e-05
          13     1.59734     1.59724 1.24413e-05
          14     1.59724     1.59724 1.15547e-05
          15     1.59722     1.59724 1.08683e-05
          16     1.59724     1.59724  1.0189e-05
          17     1.59714     1.59723 1.10334e-05
          18      1.5972     1.59723 1.05237e-05
          19     1.59727     1.59723  1.0214e-05
          20     1.59718     1.59723 1.00296e-05
