#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.95667     2.95667           0
           2     2.95618     2.95643 0.000172903
           3     2.95568     2.95618  0.00023399
           4     2.95516     2.95592 0.000281341
           5     2.95463     2.95566 0.000322381
           6     2.95409      2.9554 0.000359534
           7     2.95355     2.95514 0.000393882
           8       2.953     2.95487 0.000425981
           9     2.95244      2.9546 0.000456133
          10     2.95189     2.95433 0.000484503
          11     2.95134     2.95406 0.000511175
          12     2.95079     2.95378  0.00053618
          13     2.95025     2.95351 0.000559515
          14     2.94973     2.95324 0.000581156
          15     2.94922     2.95297 0.000601064
          16     2.94873     2.95271  0.00061919
          17     2.94827     2.95245 0.000635482
          18     2.94783     2.95219  0.00064989
          19     2.94742     2.95194 0.000662364
          20     2.94705      2.9517  0.00067286
          21     2.94672     2.95146 0.000681344
          22     2.94642     2.95123  0.00068779
          23     2.94617     2.95101 0.000692188
          24     2.94596      2.9508 0.000694538
          25     2.94581      2.9506  0.00069486
          26      2.9457     2.95041 0.000693189
          27     2.94565     2.95024  0.00068958
          28     2.94565     2.95007  0.00068411
          29     2.94571     2.94992 0.000676874
          30     2.94582     2.94978 0.000667991
          31     2.94598     2.94966 0.000657605
          32      2.9462     2.94955 0.000645881
          33     2.94647     2.94946 0.000633011
          34      2.9468     2.94938 0.000619212
          35     2.94717     2.94932 0.000604723
          36      2.9476     2.94927 0.000589813
          37     2.94807     2.94924 0.000574771
          38     2.94858     2.94922 0.000559909
          39     2.94913     2.94922 0.000545558
          40     2.94971     2.94923 0.000532059
          41     2.95033     2.94926  0.00051976
          42     2.95098      2.9493 0.000509001
          43     2.95165     2.94935 0.000500102
          44     2.95235     2.94942 0.000493349
          45     2.95306      2.9495 0.000488972
          46     2.95379      2.9496 0.000487139
          47     2.95453      2.9497 0.000487938
          48     2.95527     2.94982 0.000491374
          49     2.95602     2.94994 0.000497375
          50     2.95677     2.95008 0.000505797
          51     2.95751     2.95023 0.000516439
          52     2.95825     2.95038 0.000529061
          53     2.95898     2.95054   0.0005434
          54      2.9597     2.95071 0.000559182
          55     2.96041     2.95089 0.000576141
          56      2.9611     2.95107 0.000594017
          57     2.96178     2.95126 0.000612574
          58     2.96243     2.95145 0.000631593
          59     2.96307     2.95165 0.000650878
          60     2.96369     2.95185 0.000670257
          61     2.96428     2.95205 0.000689579
          62     2.96486     2.95226 0.000708713
          63     2.96541     2.95247 0.000727546
          64     2.96593     2.95268 0.000745985
          65     2.96644     2.95289 0.000763948
          66     2.96691      2.9531 0.000781369
          67     2.96737     2.95332 0.000798195
          68      2.9678     2.95353 0.000814381
          69     2.96821     2.95374 0.000829894
          70     2.96859     2.95395 0.000844708
          71     2.96895     2.95416 0.000858802
          72     2.96928     2.95437 0.000872166
          73      2.9696     2.95458 0.000884791
          74     2.96989     2.95479 0.000896674
          75     2.97015     2.95499 0.000907816
          76      2.9704      2.9552 0.000918223
          77     2.97063      2.9554 0.000927902
          78     2.97083      2.9556 0.000936861
          79     2.97101     2.95579 0.000945113
          80     2.97118     2.95598  0.00095267
          81     2.97132     2.95617 0.000959549
          82     2.97145     2.95636 0.000965762
          83     2.97156     2.95654 0.000971329
          84     2.97164     2.95672 0.000976263
          85     2.97171      2.9569 0.000980584
          86     2.97177     2.95707 0.000984308
          87      2.9718     2.95724 0.000987453
          88     2.97182     2.95741 0.000990036
          89     2.97182     2.95757 0.000992074
          90     2.97181     2.95773 0.000993583
          91     2.97177     2.95788 0.000994581
          92     2.97172     2.95803 0.000995084
          93     2.97165     2.95818 0.000995107
          94     2.97157     2.95832 0.000994665
          95     2.97147     2.95846 0.000993775
          96     2.97135     2.95859  0.00099245
          97     2.97121     2.95872 0.000990705
          98     2.97105     2.95885 0.000988553
          99     2.97088     2.95897 0.000986008
         100     2.97069     2.95909 0.000983084
         101     2.97047      2.9592 0.000979792
