#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.61519     2.61519           0
           2     2.61521      2.6152 5.19048e-06
           3     2.61522     2.61521 6.60073e-06
           4     2.61523     2.61521 7.80137e-06
           5     2.61524     2.61522 8.32224e-06
           6     2.61525     2.61523 8.31016e-06
           7     2.61526     2.61523 8.19491e-06
           8     2.61526     2.61523  8.0711e-06
           9     2.61526     2.61524 7.57871e-06
          10     2.61526     2.61524  7.0926e-06
          11     2.61525     2.61524 6.54183e-06
          12     2.61524     2.61524 6.00037e-06
          13     2.61524     2.61524 5.54284e-06
          14     2.61522     2.61524 5.26592e-06
          15      2.6152     2.61524 5.39394e-06
          16     2.61518     2.61523 6.14536e-06
          17     2.61514     2.61523 7.65924e-06
          18     2.61511     2.61522 9.47039e-06
          19     2.61508     2.61521 1.14374e-05
          20     2.61505     2.61521 1.36187e-05
          21     2.61501      2.6152 1.59077e-05
          22     2.61496     2.61519 1.84158e-05
          23     2.61491     2.61517 2.10858e-05
          24     2.61487     2.61516 2.36708e-05
          25     2.61482     2.61515 2.63494e-05
          26     2.61477     2.61513 2.90919e-05
          27     2.61471     2.61512 3.18717e-05
          28     2.61466      2.6151 3.46645e-05
          29      2.6146     2.61508 3.74481e-05
          30     2.61455     2.61507 4.02017e-05
          31      2.6145     2.61505 4.28744e-05
          32     2.61444     2.61503 4.54862e-05
          33     2.61439     2.61501 4.80471e-05
          34     2.61434     2.61499 5.05337e-05
          35     2.61429     2.61497 5.29015e-05
          36     2.61425     2.61495 5.51163e-05
          37     2.61421     2.61493 5.71744e-05
          38     2.61417     2.61491 5.90929e-05
          39     2.61413     2.61489 6.08648e-05
          40      2.6141     2.61487 6.24664e-05
          41     2.61407     2.61485  6.3915e-05
          42     2.61404     2.61483 6.52082e-05
          43     2.61402     2.61481 6.63455e-05
          44       2.614     2.61479 6.73566e-05
          45     2.61399     2.61478 6.82111e-05
          46     2.61397     2.61476 6.89262e-05
          47     2.61397     2.61474 6.94688e-05
          48     2.61397     2.61473 6.98721e-05
          49     2.61397     2.61471 7.01429e-05
          50     2.61397     2.61469 7.02885e-05
          51     2.61397     2.61468 7.03258e-05
          52     2.61398     2.61467 7.02528e-05
          53     2.61399     2.61465 7.00779e-05
          54       2.614     2.61464 6.98097e-05
          55     2.61402     2.61463 6.94638e-05
          56     2.61403     2.61462 6.90408e-05
          57     2.61405     2.61461 6.85551e-05
          58     2.61407      2.6146 6.80027e-05
          59     2.61409     2.61459 6.73924e-05
          60     2.61411     2.61458  6.6742e-05
          61     2.61414     2.61458 6.60405e-05
          62     2.61417     2.61457 6.53049e-05
          63     2.61419     2.61456 6.45455e-05
          64     2.61421     2.61456 6.37708e-05
          65     2.61424     2.61455 6.29822e-05
          66     2.61426     2.61455 6.21819e-05
          67     2.61429     2.61455 6.13726e-05
          68     2.61432     2.61454  6.0563e-05
          69     2.61434     2.61454  5.9758e-05
          70     2.61436     2.61454 5.89571e-05
          71     2.61439     2.61453 5.81647e-05
          72     2.61441     2.61453 5.73838e-05
          73     2.61443     2.61453 5.66151e-05
          74     2.61445     2.61453 5.58603e-05
          75     2.61448     2.61453 5.51198e-05
          76      2.6145     2.61453  5.4396e-05
          77     2.61452     2.61453 5.36896e-05
          78     2.61454     2.61453 5.30016e-05
          79     2.61456     2.61453 5.23322e-05
          80     2.61458     2.61453 5.16822e-05
          81      2.6146     2.61453 5.10516e-05
          82     2.61462     2.61453 5.04412e-05
          83     2.61464     2.61453 4.98497e-05
          84     2.61466     2.61454 4.92795e-05
          85     2.61467     2.61454 4.87261e-05
          86     2.61469     2.61454   4.819e-05
          87     2.61471     2.61454  4.7675e-05
          88     2.61472     2.61454 4.71791e-05
          89     2.61474     2.61454 4.67031e-05
          90     2.61477     2.61455 4.62487e-05
          91     2.61478     2.61455 4.58113e-05
