#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.388915   -0.388915           0
           2   -0.390975   -0.389945 0.000728464
           3   -0.392832   -0.390907 0.000923549
           4   -0.394481   -0.391801  0.00103839
           5    -0.39593   -0.392627  0.00111168
           6   -0.397185   -0.393386  0.00115729
           7   -0.398256   -0.394082   0.0011827
           8   -0.399157   -0.394716  0.00119292
           9   -0.399891   -0.395291  0.00119088
          10   -0.400464   -0.395809  0.00117878
          11   -0.400881    -0.39627   0.0011583
          12   -0.401163   -0.396678  0.00113129
          13   -0.401318   -0.397034  0.00109915
          14   -0.401358   -0.397343  0.00106313
          15    -0.40128   -0.397606  0.00102414
          16   -0.401103   -0.397824 0.000983172
          17   -0.400831   -0.398001 0.000941107
          18   -0.400473   -0.398138 0.000898785
          19   -0.400047   -0.398239 0.000857076
          20   -0.399553   -0.398305 0.000816736
          21      -0.399   -0.398338 0.000778514
          22   -0.398394    -0.39834 0.000743131
          23   -0.397742   -0.398314 0.000711277
          24   -0.397049   -0.398261 0.000683592
          25   -0.396331   -0.398184 0.000660595
          26    -0.39559   -0.398085 0.000642677
          27   -0.394832   -0.397964 0.000630062
          28   -0.394067   -0.397825 0.000622741
          29   -0.393291   -0.397669 0.000620578
          30   -0.392519   -0.397497 0.000623179
          31   -0.391748   -0.397311 0.000630069
          32   -0.390984   -0.397114 0.000640659
          33   -0.390231   -0.396905 0.000654314
          34   -0.389493   -0.396687 0.000670401
          35   -0.388773   -0.396461 0.000688322
          36   -0.388074   -0.396228  0.00070753
          37   -0.387398   -0.395989 0.000727543
          38   -0.386747   -0.395746 0.000747946
          39   -0.386128     -0.3955 0.000768351
          40    -0.38553    -0.39525 0.000788527
          41   -0.384965   -0.394999 0.000808217
          42   -0.384432   -0.394748 0.000827211
          43   -0.383926   -0.394496 0.000845394
          44   -0.383451   -0.394245 0.000862648
          45   -0.383009   -0.393995 0.000878871
          46   -0.382597   -0.393748 0.000894015
          47    -0.38222   -0.393502 0.000908014
          48   -0.381878    -0.39326 0.000920825
          49   -0.381563   -0.393022 0.000932461
          50   -0.381267   -0.392786 0.000942982
          51   -0.381002   -0.392555  0.00095238
          52   -0.380768   -0.392329 0.000960662
          53   -0.380555   -0.392107  0.00096788
          54   -0.380362   -0.391889 0.000974087
          55   -0.380182   -0.391676 0.000979358
          56   -0.380024   -0.391468 0.000983724
          57   -0.379887   -0.391265 0.000987223
          58   -0.379764   -0.391067 0.000989915
          59    -0.37965   -0.390873  0.00099187
          60   -0.379539   -0.390684 0.000993164
          61   -0.379439     -0.3905 0.000993844
          62   -0.379338    -0.39032 0.000993985
          63   -0.379241   -0.390144 0.000993643
          64   -0.379143   -0.389972 0.000992873
          65   -0.379041   -0.389804 0.000991738
          66   -0.378934   -0.389639 0.000990292
          67   -0.378812   -0.389478 0.000988609
          68   -0.378675   -0.389319 0.000986753
          69   -0.378529   -0.389162 0.000984765
          70   -0.378365   -0.389008 0.000982702
          71   -0.378176   -0.388856 0.000980634
          72   -0.377963   -0.388704 0.000978615
          73   -0.377724   -0.388554   0.0009767
          74   -0.377459   -0.388404  0.00097494
          75   -0.377164   -0.388254 0.000973391
          76   -0.376832   -0.388104 0.000972117
          77   -0.376467   -0.387953 0.000971169
          78   -0.376067     -0.3878 0.000970598
          79   -0.375629   -0.387646 0.000970462
          80   -0.375151    -0.38749 0.000970818
          81   -0.374631   -0.387331 0.000971726
          82   -0.374063    -0.38717 0.000973253
          83   -0.373458   -0.387004 0.000975446
          84   -0.372806   -0.386835  0.00097837
          85   -0.372107   -0.386662 0.000982084
          86   -0.371361   -0.386484 0.000986649
          87   -0.370566   -0.386301 0.000992127
          88   -0.369722   -0.386113 0.000998581
          89   -0.368835   -0.385919  0.00100605
          90   -0.367907   -0.385718  0.00101458
          91   -0.366928   -0.385512  0.00102423
          92     -0.3659   -0.385299  0.00103504
          93   -0.364834   -0.385079  0.00104705
          94   -0.363721   -0.384852  0.00106027
          95   -0.362576   -0.384617  0.00107473
          96   -0.361395   -0.384375  0.00109041
          97   -0.360173   -0.384126  0.00110735
          98   -0.358923   -0.383869  0.00112552
          99   -0.357646   -0.383604  0.00114489
         100    -0.35635   -0.383331  0.00116543
         101   -0.355034   -0.383051  0.00118709
         102   -0.353706   -0.382763  0.00120981
         103   -0.352378   -0.382468  0.00123351
         104   -0.351044   -0.382166  0.00125811
         105   -0.349717   -0.381857  0.00128353
         106   -0.348407   -0.381541  0.00130964
         107   -0.347106    -0.38122  0.00133635
         108   -0.345833   -0.380892  0.00136356
         109   -0.344595   -0.380559  0.00139111
         110   -0.343402   -0.380221  0.00141889
         111   -0.342263   -0.379879  0.00144673
         112    -0.34117   -0.379534  0.00147451
         113   -0.340149   -0.379185  0.00150209
         114   -0.339194   -0.378834  0.00152933
         115   -0.338314   -0.378482  0.00155609
         116   -0.337522   -0.378129  0.00158223
         117   -0.336817   -0.377776  0.00160763
         118   -0.336205   -0.377423  0.00163215
         119   -0.335692   -0.377073  0.00165568
         120   -0.335286   -0.376725   0.0016781
         121   -0.334985    -0.37638  0.00169932
         122   -0.334785   -0.376039  0.00171925
         123   -0.334691   -0.375702  0.00173782
         124   -0.334702   -0.375372  0.00175498
         125   -0.334815   -0.375047  0.00177068
         126   -0.335031    -0.37473  0.00178488
         127   -0.335344    -0.37442  0.00179757
         128   -0.335752   -0.374118  0.00180873
         129   -0.336247   -0.373824  0.00181838
         130   -0.336825   -0.373539  0.00182653
         131   -0.337483   -0.373264  0.00183321
         132   -0.338205   -0.372999  0.00183846
         133   -0.339002   -0.372743  0.00184232
         134    -0.33985   -0.372497  0.00184485
         135   -0.340742   -0.372262  0.00184612
         136   -0.341675   -0.372037  0.00184619
         137   -0.342639   -0.371823  0.00184515
         138   -0.343619   -0.371618  0.00184306
         139   -0.344621   -0.371424  0.00184001
         140   -0.345628    -0.37124  0.00183607
         141   -0.346631   -0.371065  0.00183132
         142   -0.347632     -0.3709  0.00182584
         143   -0.348618   -0.370745  0.00181971
         144   -0.349581   -0.370598    0.001813
         145   -0.350515   -0.370459  0.00180578
         146   -0.351415   -0.370329  0.00179812
         147    -0.35228   -0.370206  0.00179007
         148   -0.353099    -0.37009   0.0017817
         149    -0.35387   -0.369981  0.00177307
         150   -0.354588   -0.369879  0.00176422
         151    -0.35525   -0.369782  0.00175519
         152   -0.355848    -0.36969  0.00174604
         153   -0.356391   -0.369603  0.00173679
         154   -0.356863   -0.369521  0.00172748
         155   -0.357268   -0.369442  0.00171814
         156   -0.357605   -0.369366   0.0017088
         157   -0.357868   -0.369292  0.00169948
         158   -0.358058   -0.369221  0.00169022
         159   -0.358171   -0.369152  0.00168101
         160   -0.358215   -0.369083   0.0016719
         161   -0.358181   -0.369016  0.00166288
         162   -0.358066   -0.368948  0.00165399
         163   -0.357876    -0.36888  0.00164524
         164   -0.357616   -0.368812  0.00163664
         165   -0.357275   -0.368742  0.00162821
         166   -0.356857    -0.36867  0.00161998
         167   -0.356368   -0.368596  0.00161195
         168   -0.355806    -0.36852  0.00160415
         169   -0.355176   -0.368441   0.0015966
         170   -0.354481   -0.368359  0.00158932
         171   -0.353716   -0.368274  0.00158233
         172   -0.352895   -0.368184  0.00157566
         173   -0.352014   -0.368091  0.00156932
         174   -0.351079   -0.367993  0.00156334
         175   -0.350095   -0.367891  0.00155775
         176   -0.349066   -0.367784  0.00155257
         177   -0.347995   -0.367672  0.00154782
         178   -0.346895   -0.367555  0.00154352
         179   -0.345768   -0.367433  0.00153968
         180   -0.344618   -0.367307  0.00153634
         181   -0.343456   -0.367175  0.00153349
         182   -0.342277   -0.367038  0.00153116
         183   -0.341105   -0.366896  0.00152933
         184    -0.33994    -0.36675  0.00152802
         185   -0.338788   -0.366599  0.00152722
         186   -0.337656   -0.366443  0.00152691
         187   -0.336559   -0.366283  0.00152709
         188   -0.335494    -0.36612  0.00152772
         189   -0.334478   -0.365952  0.00152879
         190   -0.333508   -0.365781  0.00153025
         191   -0.332602   -0.365608  0.00153206
         192   -0.331761   -0.365431  0.00153419
         193   -0.330979   -0.365253  0.00153659
         194   -0.330273   -0.365073  0.00153921
         195   -0.329644   -0.364891  0.00154201
         196   -0.329094   -0.364708  0.00154492
         197   -0.328627   -0.364525  0.00154789
         198   -0.328237   -0.364342  0.00155089
         199   -0.327934   -0.364159  0.00155385
         200   -0.327715   -0.363977  0.00155673
         201   -0.327579   -0.363796  0.00155948
         202   -0.327523   -0.363616  0.00156206
         203   -0.327547   -0.363438  0.00156444
         204   -0.327644   -0.363263  0.00156658
         205   -0.327817    -0.36309  0.00156845
         206   -0.328059    -0.36292  0.00157003
         207   -0.328369   -0.362753  0.00157129
         208   -0.328735   -0.362589  0.00157222
         209   -0.329158   -0.362429  0.00157282
         210   -0.329635   -0.362273  0.00157306
         211   -0.330162   -0.362121  0.00157295
         212   -0.330729   -0.361973  0.00157249
         213   -0.331333   -0.361829  0.00157167
         214   -0.331966    -0.36169  0.00157051
         215   -0.332635   -0.361554  0.00156901
         216   -0.333325   -0.361424  0.00156718
         217   -0.334034   -0.361298  0.00156503
         218   -0.334752   -0.361176  0.00156258
         219   -0.335489   -0.361059  0.00155984
