#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.341477   -0.341477           0
           2   -0.340973   -0.341225 0.000178094
           3   -0.340456   -0.340969 0.000240586
           4   -0.339925   -0.340708  0.00028914
           5   -0.339387   -0.340444 0.000330679
           6   -0.338843   -0.340177 0.000367746
           7   -0.338292   -0.339908 0.000401915
           8   -0.337735   -0.339636 0.000433846
           9   -0.337185   -0.339364 0.000463302
          10   -0.336631    -0.33909 0.000491006
          11   -0.336085   -0.338817 0.000516834
          12   -0.335548   -0.338545  0.00054082
          13   -0.335017   -0.338273  0.00056321
          14   -0.334506   -0.338004  0.00058373
          15   -0.334018   -0.337738 0.000602282
          16   -0.333555   -0.337477 0.000618792
          17   -0.333124   -0.337221 0.000633153
          18   -0.332717   -0.336971 0.000645532
          19   -0.332341   -0.336727  0.00065593
          20   -0.332006   -0.336491 0.000664259
          21   -0.331708   -0.336263 0.000670536
          22   -0.331459   -0.336045 0.000674676
          23   -0.331257   -0.335837   0.0006767
          24   -0.331093   -0.335639 0.000676749
          25   -0.330988   -0.335453 0.000674765
          26   -0.330935   -0.335279 0.000670812
          27   -0.330936   -0.335118 0.000664973
          28   -0.330992   -0.334971 0.000657354
          29   -0.331102   -0.334838 0.000648084
          30   -0.331267   -0.334719 0.000637315
          31   -0.331484   -0.334614 0.000625237
          32   -0.331757   -0.334525 0.000612038
          33   -0.332085   -0.334451 0.000597942
          34   -0.332462   -0.334393  0.00058321
          35   -0.332885   -0.334349 0.000568134
          36   -0.333351   -0.334322 0.000553029
          37    -0.33386   -0.334309 0.000538223
          38   -0.334411   -0.334312 0.000524066
          39   -0.334997   -0.334329 0.000510923
          40   -0.335614   -0.334362 0.000499159
          41   -0.336263   -0.334408 0.000489133
          42   -0.336937   -0.334468 0.000481178
          43   -0.337632   -0.334542 0.000475579
          44   -0.338349   -0.334628 0.000472578
          45   -0.339077   -0.334727 0.000472302
          46   -0.339816   -0.334838 0.000474815
          47   -0.340556   -0.334959 0.000480047
          48   -0.341304   -0.335092 0.000487902
          49   -0.342052   -0.335234 0.000498193
          50   -0.342797   -0.335385 0.000510677
          51   -0.343539   -0.335545 0.000525095
          52    -0.34427   -0.335713 0.000541143
