#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00079     2.00079           0
           2      2.0023     2.00155  0.00053618
           3     2.00368     2.00226 0.000681935
           4     2.00492     2.00292 0.000770024
           5     2.00602     2.00354 0.000828112
           6     2.00698     2.00411 0.000866306
           7     2.00782     2.00464 0.000889825
           8     2.00854     2.00513 0.000901917
           9     2.00914     2.00558 0.000904841
          10     2.00962     2.00598 0.000900297
          11        2.01     2.00635 0.000889629
          12     2.01028     2.00667 0.000873947
          13     2.01047     2.00697  0.00085419
          14     2.01058     2.00722 0.000831174
          15      2.0106     2.00745  0.00080562
          16     2.01055     2.00764 0.000778179
          17     2.01043     2.00781 0.000749443
          18     2.01025     2.00794  0.00071996
          19     2.01001     2.00805 0.000690243
          20     2.00972     2.00813 0.000660777
          21     2.00939     2.00819 0.000632021
          22     2.00902     2.00823 0.000604413
          23     2.00862     2.00825 0.000578368
          24     2.00819     2.00825 0.000554275
          25     2.00773     2.00823  0.00053249
          26     2.00725     2.00819 0.000513322
          27     2.00676     2.00814 0.000497025
          28     2.00626     2.00807 0.000483778
          29     2.00575     2.00799 0.000473677
          30     2.00523      2.0079  0.00046672
          31     2.00471     2.00779 0.000462813
          32      2.0042     2.00768 0.000461771
          33     2.00369     2.00756 0.000463337
          34     2.00319     2.00743 0.000467203
          35      2.0027      2.0073 0.000473027
          36     2.00222     2.00716 0.000480462
          37     2.00175     2.00701 0.000489167
          38      2.0013     2.00686 0.000498824
          39     2.00087     2.00671 0.000509142
          40     2.00045     2.00655 0.000519864
          41     2.00006     2.00639 0.000530766
          42     1.99968     2.00623 0.000541659
          43     1.99932     2.00607 0.000552384
          44     1.99899     2.00591  0.00056281
          45     1.99867     2.00575 0.000572833
          46     1.99838     2.00559  0.00058237
          47      1.9981     2.00543 0.000591356
          48     1.99785     2.00527 0.000599745
          49     1.99762     2.00511 0.000607506
          50      1.9974     2.00496 0.000614618
          51     1.99721     2.00481 0.000621073
          52     1.99703     2.00466 0.000626871
          53     1.99687     2.00451  0.00063202
          54     1.99673     2.00437 0.000636534
          55      1.9966     2.00423 0.000640434
          56     1.99649     2.00409 0.000643743
          57     1.99638     2.00395 0.000646491
          58     1.99629     2.00382 0.000648708
          59     1.99621     2.00369 0.000650429
          60     1.99613     2.00357 0.000651688
          61     1.99606     2.00344 0.000652524
          62     1.99599     2.00332 0.000652973
          63     1.99593     2.00321 0.000653074
          64     1.99586     2.00309 0.000652867
          65      1.9958     2.00298 0.000652391
          66     1.99573     2.00287 0.000651683
          67     1.99566     2.00276 0.000650784
          68     1.99558     2.00266 0.000649731
          69     1.99549     2.00255 0.000648563
          70     1.99539     2.00245 0.000647316
          71     1.99528     2.00235 0.000646028
          72     1.99515     2.00225 0.000644736
          73     1.99501     2.00215 0.000643475
          74     1.99486     2.00205 0.000642283
          75     1.99468     2.00195 0.000641194
          76     1.99448     2.00185 0.000640245
          77     1.99426     2.00176 0.000639473
          78     1.99402     2.00166 0.000638914
          79     1.99376     2.00156 0.000638605
          80     1.99346     2.00146 0.000638584
          81     1.99315     2.00135 0.000638888
          82      1.9928     2.00125 0.000639557
          83     1.99242     2.00114  0.00064063
          84     1.99202     2.00103 0.000642145
          85     1.99158     2.00092 0.000644144
          86     1.99112     2.00081 0.000646666
          87     1.99062     2.00069 0.000649751
          88     1.99009     2.00057 0.000653437
          89     1.98953     2.00045 0.000657761
          90     1.98894     2.00032 0.000662761
          91     1.98832     2.00019 0.000668468
          92     1.98767     2.00005 0.000674914
          93     1.98698     1.99991 0.000682125
          94     1.98627     1.99977 0.000690124
          95     1.98553     1.99962 0.000698928
          96     1.98477     1.99946 0.000708549
          97     1.98398      1.9993 0.000718992
          98     1.98317     1.99914 0.000730256
          99     1.98234     1.99897 0.000742333
         100     1.98149     1.99879 0.000755206
         101     1.98062     1.99861 0.000768853
         102     1.97975     1.99843 0.000783241
         103     1.97887     1.99824 0.000798332
         104     1.97798     1.99804 0.000814079
         105     1.97709     1.99784 0.000830426
         106      1.9762     1.99764 0.000847313
         107     1.97533     1.99743 0.000864672
         108     1.97446     1.99722 0.000882428
         109     1.97362       1.997 0.000900502
         110      1.9728     1.99678  0.00091881
         111       1.972     1.99656 0.000937263
         112     1.97124     1.99633 0.000955771
         113     1.97051      1.9961 0.000974241
         114     1.96983     1.99587  0.00099258
         115      1.9692     1.99564  0.00101069
         116     1.96861     1.99541  0.00102849
         117     1.96808     1.99517  0.00104587
         118     1.96762     1.99494  0.00106277
         119     1.96721     1.99471  0.00107908
         120     1.96687     1.99448  0.00109474
         121      1.9666     1.99425  0.00110967
         122     1.96639     1.99402  0.00112381
         123     1.96626     1.99379  0.00113711
         124      1.9662     1.99357   0.0011495
         125     1.96621     1.99335  0.00116096
         126     1.96628     1.99314  0.00117146
         127     1.96643     1.99292  0.00118096
         128     1.96664     1.99272  0.00118946
         129     1.96691     1.99252  0.00119695
         130     1.96724     1.99233  0.00120344
         131     1.96763     1.99214  0.00120893
         132     1.96806     1.99195  0.00121345
         133     1.96855     1.99178  0.00121702
         134     1.96908     1.99161  0.00121967
         135     1.96964     1.99145  0.00122145
         136     1.97023     1.99129  0.00122238
         137     1.97085     1.99114  0.00122253
         138     1.97149       1.991  0.00122193
         139     1.97215     1.99086  0.00122064
         140     1.97282     1.99073  0.00121871
         141     1.97349     1.99061  0.00121619
         142     1.97416      1.9905  0.00121314
         143     1.97482     1.99039  0.00120959
         144     1.97548     1.99028  0.00120562
         145     1.97612     1.99018  0.00120125
         146     1.97674     1.99009  0.00119655
         147     1.97734     1.99001  0.00119155
         148     1.97792     1.98992  0.00118629
         149     1.97846     1.98985  0.00118082
         150     1.97898     1.98978  0.00117517
         151     1.97946     1.98971  0.00116937
         152      1.9799     1.98964  0.00116346
         153      1.9803     1.98958  0.00115746
         154     1.98066     1.98952  0.00115139
         155     1.98097     1.98947  0.00114528
         156     1.98124     1.98942  0.00113915
         157     1.98147     1.98936  0.00113302
         158     1.98164     1.98932  0.00112691
         159     1.98177     1.98927  0.00112082
         160     1.98185     1.98922  0.00111477
         161     1.98187     1.98918  0.00110878
         162     1.98185     1.98913  0.00110286
         163     1.98177     1.98909  0.00109702
         164     1.98165     1.98904  0.00109127
         165     1.98147     1.98899  0.00108562
         166     1.98124     1.98895  0.00108008
         167     1.98096      1.9889  0.00107467
         168     1.98064     1.98885   0.0010694
         169     1.98027      1.9888  0.00106428
         170     1.97985     1.98875  0.00105932
         171     1.97938     1.98869  0.00105454
         172     1.97887     1.98864  0.00104995
         173     1.97832     1.98858  0.00104557
         174     1.97774     1.98851  0.00104142
         175     1.97711     1.98845   0.0010375
         176     1.97646     1.98838  0.00103384
         177     1.97577     1.98831  0.00103045
         178     1.97506     1.98823  0.00102735
         179     1.97433     1.98816  0.00102454
         180     1.97357     1.98808  0.00102205
         181     1.97281     1.98799  0.00101988
         182     1.97203      1.9879  0.00101804
         183     1.97125     1.98781  0.00101654
         184     1.97047     1.98772  0.00101537
         185     1.96969     1.98762  0.00101455
         186     1.96893     1.98752  0.00101406
         187     1.96817     1.98742   0.0010139
         188     1.96744     1.98731  0.00101406
         189     1.96674      1.9872  0.00101452
         190     1.96606     1.98709  0.00101527
         191     1.96542     1.98698  0.00101627
         192     1.96481     1.98686  0.00101752
         193     1.96425     1.98674  0.00101897
         194     1.96373     1.98663   0.0010206
         195     1.96326     1.98651  0.00102237
         196     1.96284     1.98639  0.00102426
         197     1.96247     1.98626  0.00102623
         198     1.96216     1.98614  0.00102824
         199      1.9619     1.98602  0.00103026
         200      1.9617      1.9859  0.00103226
         201     1.96156     1.98578  0.00103421
         202     1.96146     1.98566  0.00103607
         203     1.96143     1.98554  0.00103782
         204     1.96144     1.98542  0.00103943
         205     1.96151      1.9853  0.00104088
         206     1.96162     1.98519  0.00104216
         207     1.96179     1.98508  0.00104324
         208     1.96199     1.98496  0.00104411
         209     1.96224     1.98486  0.00104476
         210     1.96252     1.98475  0.00104518
         211     1.96284     1.98465  0.00104538
         212     1.96319     1.98454  0.00104533
         213     1.96356     1.98445  0.00104506
         214     1.96397     1.98435  0.00104455
         215     1.96439     1.98426   0.0010438
         216     1.96484     1.98417  0.00104284
         217      1.9653     1.98408  0.00104165
         218     1.96577       1.984  0.00104025
         219     1.96625     1.98392  0.00103865
         220     1.96674     1.98384  0.00103686
         221     1.96724     1.98376  0.00103489
         222     1.96774     1.98369  0.00103274
         223     1.96823     1.98362  0.00103043
         224     1.96873     1.98355  0.00102797
         225     1.96922     1.98349  0.00102538
         226      1.9697     1.98343  0.00102265
         227     1.97017     1.98337  0.00101981
         228     1.97063     1.98332  0.00101687
         229     1.97108     1.98326  0.00101383
         230     1.97151     1.98321  0.00101071
         231     1.97191     1.98316  0.00100752
         232      1.9723     1.98312  0.00100427
         233     1.97266     1.98307  0.00100096
         234     1.97299     1.98303 0.000997606
         235     1.97329     1.98299 0.000994221
         236     1.97356     1.98295  0.00099081
         237     1.97379     1.98291 0.000987383
         238     1.97398     1.98287 0.000983946
         239     1.97413     1.98283 0.000980509
         240     1.97423      1.9828 0.000977078
         241     1.97428     1.98276 0.000973663
         242     1.97428     1.98273  0.00097027
         243     1.97422     1.98269 0.000966908
         244      1.9741     1.98266 0.000963586
         245     1.97392     1.98262 0.000960313
         246     1.97367     1.98258 0.000957098
         247     1.97335     1.98255 0.000953954
         248     1.97295     1.98251 0.000950891
         249     1.97248     1.98247 0.000947925
         250     1.97192     1.98243 0.000945072
         251     1.97128     1.98238 0.000942349
         252     1.97056     1.98233 0.000939777
         253     1.96974     1.98228 0.000937379
         254     1.96884     1.98223 0.000935183
         255     1.96784     1.98218 0.000933218
         256     1.96675     1.98212 0.000931517
         257     1.96556     1.98205 0.000930116
         258     1.96429     1.98198 0.000929055
         259     1.96293     1.98191 0.000928377
