#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.97111     1.97111           0
           2     1.97079     1.97095 0.000115269
           3     1.97045     1.97078 0.000155993
           4     1.97011     1.97061 0.000187561
           5     1.96975     1.97044 0.000214921
           6      1.9694     1.97027  0.00023969
           7     1.96903     1.97009 0.000262588
           8     1.96866     1.96991 0.000283987
           9     1.96829     1.96973 0.000304088
          10     1.96792     1.96955 0.000323002
          11     1.96756     1.96937 0.000340783
          12     1.96719     1.96919 0.000357453
          13     1.96684     1.96901  0.00037301
          14     1.96649     1.96883 0.000387438
          15     1.96615     1.96865 0.000400709
          16     1.96582     1.96847 0.000412793
          17     1.96551      1.9683 0.000423655
          18     1.96522     1.96813  0.00043326
          19     1.96495     1.96796 0.000441576
          20      1.9647      1.9678 0.000448573
          21     1.96448     1.96764 0.000454229
          22     1.96428     1.96749 0.000458527
          23     1.96411     1.96734 0.000461458
          24     1.96398      1.9672 0.000463025
          25     1.96387     1.96707  0.00046324
          26      1.9638     1.96694 0.000462126
          27     1.96377     1.96682  0.00045972
          28     1.96377     1.96671 0.000456073
          29      1.9638     1.96661 0.000451249
          30     1.96388     1.96652 0.000445328
          31     1.96399     1.96644 0.000438403
          32     1.96413     1.96637 0.000430588
          33     1.96432     1.96631 0.000422008
          34     1.96453     1.96625 0.000412808
          35     1.96478     1.96621 0.000403149
          36     1.96506     1.96618 0.000393209
          37     1.96538     1.96616 0.000383181
          38     1.96572     1.96615 0.000373273
          39     1.96608     1.96615 0.000363705
          40     1.96648     1.96615 0.000354706
          41     1.96689     1.96617 0.000346507
          42     1.96732      1.9662 0.000339334
          43     1.96777     1.96624 0.000333402
          44     1.96823     1.96628 0.000328899
          45     1.96871     1.96634 0.000325981
          46     1.96919      1.9664 0.000324759
          47     1.96968     1.96647 0.000325292
          48     1.97018     1.96654 0.000327583
          49     1.97068     1.96663 0.000331583
          50     1.97118     1.96672 0.000337198
          51     1.97167     1.96682 0.000344293
          52     1.97217     1.96692 0.000352707
          53     1.97265     1.96703 0.000362266
          54     1.97313     1.96714 0.000372788
          55     1.97361     1.96726 0.000384094
          56     1.97407     1.96738 0.000396012
          57     1.97452     1.96751 0.000408383
          58     1.97496     1.96763 0.000421062
          59     1.97538     1.96777 0.000433919
          60     1.97579      1.9679 0.000446838
          61     1.97619     1.96803 0.000459719
          62     1.97657     1.96817 0.000472475
          63     1.97694     1.96831 0.000485031
          64     1.97729     1.96845 0.000497323
          65     1.97762     1.96859 0.000509298
          66     1.97794     1.96873 0.000520913
          67     1.97825     1.96888  0.00053213
          68     1.97853     1.96902 0.000542921
          69      1.9788     1.96916 0.000553263
          70     1.97906      1.9693 0.000563138
          71      1.9793     1.96944 0.000572535
          72     1.97952     1.96958 0.000581444
          73     1.97973     1.96972  0.00058986
          74     1.97992     1.96986 0.000597782
          75      1.9801        1.97 0.000605211
          76     1.98027     1.97013 0.000612149
          77     1.98042     1.97026 0.000618601
          78     1.98055      1.9704 0.000624574
          79     1.98068     1.97053 0.000630075
          80     1.98079     1.97066 0.000635114
          81     1.98088     1.97078 0.000639699
          82     1.98097     1.97091 0.000643842
          83     1.98104     1.97103 0.000647552
          84      1.9811     1.97115 0.000650842
          85     1.98114     1.97127 0.000653723
          86     1.98118     1.97138 0.000656206
          87      1.9812     1.97149 0.000658302
          88     1.98121      1.9716 0.000660024
          89     1.98121     1.97171 0.000661382
          90      1.9812     1.97182 0.000662389
          91     1.98118     1.97192 0.000663054
          92     1.98115     1.97202 0.000663389
          93      1.9811     1.97212 0.000663404
          94     1.98105     1.97221  0.00066311
          95     1.98098     1.97231 0.000662517
          96      1.9809     1.97239 0.000661633
          97     1.98081     1.97248  0.00066047
          98      1.9807     1.97257 0.000659035
          99     1.98059     1.97265 0.000657339
         100     1.98046     1.97272 0.000655389
         101     1.98032      1.9728 0.000653195
         102     1.98016     1.97287 0.000650765
         103     1.97999     1.97294 0.000648107
         104     1.97981     1.97301 0.000645231
         105     1.97961     1.97307 0.000642144
         106      1.9794     1.97313 0.000638856
         107     1.97917     1.97319 0.000635376
         108     1.97893     1.97324 0.000631714
         109     1.97867     1.97329 0.000627879
         110     1.97839     1.97334 0.000623882
         111      1.9781     1.97338 0.000619735
         112     1.97779     1.97342 0.000615449
         113     1.97745     1.97345 0.000611039
         114      1.9771     1.97349 0.000606517
         115     1.97674     1.97351 0.000601902
         116     1.97635     1.97354 0.000597208
         117     1.97594     1.97356 0.000592456
         118     1.97551     1.97358 0.000587665
