#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.872663    0.872663           0
           2    0.887403    0.880033  0.00521124
           3    0.907728    0.889265  0.00829963
           4    0.916266    0.896015  0.00853954
           5    0.911835    0.899179   0.0073946
           6     0.88034    0.896039  0.00679614
           7    0.893876     0.89573  0.00583228
           8    0.899431    0.896193  0.00512156
           9    0.884966    0.894945  0.00470196
          10    0.884511    0.893902    0.004346
          11    0.887023    0.893277  0.00399566
          12     0.92077    0.895568  0.00426931
          13    0.883399    0.894632  0.00404222
          14    0.889773    0.894285  0.00376836
          15    0.903045    0.894869   0.0035621
          16    0.857534    0.892535  0.00403196
          17    0.899865    0.892966  0.00381777
          18      0.9134    0.894102  0.00377066
          19    0.939054    0.896467  0.00425015
          20    0.806682    0.891978  0.00595387
