#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      0.2871      0.2871           0
           2    0.284002    0.284002    0.091498
           3    0.276973    0.276973    0.176945
           4     0.26681     0.26681    0.290461
           5     0.26264     0.26264    0.247589
           6    0.265275    0.265275    0.216536
           7    0.263648    0.263648    0.187753
           8    0.263785    0.263785    0.164385
           9    0.262231    0.262231    0.150444
          10    0.262806    0.262806    0.136869
          11    0.263344    0.263344    0.125409
          12    0.261394    0.261394    0.123021
          13    0.261818    0.261818    0.113587
          14    0.261051    0.261051    0.108475
          15    0.260403    0.260403    0.102553
          16    0.260224    0.260224   0.0965695
          17    0.260645    0.260645   0.0912727
          18     0.25971     0.25971   0.0918502
          19     0.25816     0.25816    0.101003
          20    0.259498    0.259498    0.106747
