#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     89.1625     89.1625           0
           2     89.3354      89.249   0.0611206
           3      90.259     89.5857    0.277903
           4     91.6279     90.0962    0.488813
           5     90.9679     90.2706    0.420995
           6     89.3909     90.1239    0.375493
           7     90.3232     90.1524    0.322929
           8     90.0861     90.1441    0.282669
           9     91.2431     90.2662     0.27638
          10      89.818     90.2214     0.25235
          11     89.9713     90.1987    0.230432
          12     91.1308     90.2763    0.223939
          13     89.9856      90.254    0.207827
          14     91.2109     90.3223    0.203912
          15     91.0419     90.3703    0.195879
          16     90.8319     90.3991    0.185749
          17     89.9265     90.3713     0.17689
          18     91.4603     90.4318    0.177107
          19     92.0622     90.5177    0.187423
          20     89.7878     90.4812     0.18157
