#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00178    -1.00178           0
           2    -1.00244    -1.00211 0.000233767
           3    -1.00368    -1.00264 0.000456032
           4    -1.00571     -1.0034 0.000748622
           5    -1.00465    -1.00365 0.000638793
           6    -1.00254    -1.00347  0.00055872
           7    -1.00403    -1.00355 0.000484639
           8    -1.00342    -1.00353 0.000424313
           9    -1.00442    -1.00363 0.000388431
          10    -1.00309    -1.00358 0.000353315
          11    -1.00311    -1.00353 0.000323714
          12    -1.00496    -1.00365 0.000317798
          13    -1.00355    -1.00364 0.000293447
          14    -1.00459    -1.00371 0.000280121
          15    -1.00437    -1.00376  0.00026484
          16    -1.00339    -1.00373 0.000249272
          17    -1.00335    -1.00371 0.000235624
          18    -1.00522    -1.00379 0.000236902
          19    -1.00636    -1.00393 0.000260104
          20    -1.00147    -1.00381 0.000274582
