#   N_BLOCK:  ACCEPTANCE:
           1    0.513258
           2    0.513087
           3    0.513199
           4    0.512921
           5    0.512958
           6    0.513107
           7    0.513076
           8    0.513061
           9    0.512969
          10    0.513029
          11    0.513033
          12    0.512997
          13    0.512969
          14    0.512953
          15     0.51296
          16     0.51296
          17    0.512958
          18     0.51291
          19    0.512923
          20    0.512935
