#   N_BLOCK:  ACCEPTANCE:
           1    0.497995
           2    0.499046
           3    0.498148
           4    0.498334
           5    0.497856
           6    0.498377
           7    0.498581
           8    0.498637
           9    0.498569
          10    0.498672
          11    0.499016
          12    0.499195
          13    0.499286
          14    0.499014
          15    0.499029
          16    0.498835
          17     0.49883
          18    0.498596
          19    0.498511
          20    0.498287
