# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263   2.209e-05 1.06846e-05
    0.884913  0.00130291 7.67033e-05
    0.910562   0.0243703 0.000414835
    0.936212     0.16636  0.00156198
    0.961861    0.568076  0.00263635
    0.987511     1.21147  0.00486152
     1.01316     1.87996  0.00517197
     1.03881     2.36265  0.00498448
     1.06446     2.57673  0.00401678
     1.09011      2.5779  0.00330332
     1.11576     2.43319  0.00371355
     1.14141     2.21629  0.00318395
     1.16706     1.99178  0.00318334
     1.19271     1.76799  0.00394815
     1.21836     1.57423  0.00408505
     1.24401     1.40276   0.0035275
     1.26966     1.25469  0.00255922
     1.29531     1.13307  0.00309918
     1.32096     1.03291  0.00223057
     1.34661    0.950039  0.00232473
     1.37226    0.881007  0.00142497
     1.39791    0.825034  0.00158916
     1.42355    0.779964  0.00177916
      1.4492    0.745655  0.00150824
     1.47485    0.718952   0.0013948
      1.5005    0.697298  0.00165214
     1.52615     0.68461   0.0017036
      1.5518    0.678006  0.00153097
     1.57745    0.676181  0.00189014
      1.6031    0.681376  0.00190267
     1.62875    0.691008  0.00191918
      1.6544    0.706198  0.00207392
     1.68005    0.728749   0.0015108
      1.7057    0.753704  0.00137668
     1.73135    0.786749  0.00170372
       1.757    0.822757  0.00136988
     1.78265    0.861895  0.00149407
      1.8083    0.903498  0.00145716
     1.83395    0.946966  0.00177273
      1.8596    0.987546  0.00147067
     1.88525     1.03174  0.00178031
      1.9109      1.0716  0.00199616
     1.93655     1.10602  0.00144695
      1.9622     1.14233  0.00133987
     1.98785     1.17465  0.00157524
      2.0135     1.19776  0.00198088
     2.03915      1.2153  0.00102891
      2.0648     1.22735  0.00165243
     2.09045     1.22676  0.00147487
      2.1161     1.21863   0.0014957
     2.14174     1.20538  0.00175516
     2.16739     1.18645  0.00163118
     2.19304      1.1597  0.00153641
     2.21869      1.1349  0.00153754
     2.24434     1.10574  0.00154338
     2.26999     1.07495  0.00142296
     2.29564     1.04729  0.00126852
     2.32129     1.02045  0.00132713
     2.34694    0.995835  0.00134134
     2.37259    0.973615   0.0011063
     2.39824    0.955028   0.0014236
     2.42389    0.939555  0.00125573
     2.44954     0.92778  0.00107309
     2.47519    0.915333  0.00126321
     2.50084    0.902027  0.00112934
     2.52649    0.892852  0.00124351
     2.55214    0.892463  0.00131324
