# DISTANCE    GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913 0.000786834
    0.910562   0.0264467
    0.936212    0.170284
    0.961861    0.581084
    0.987511     1.21869
     1.01316     1.89638
     1.03881      2.4078
     1.06446     2.57938
     1.09011     2.59939
     1.11576     2.45558
     1.14141     2.22293
     1.16706     1.97941
     1.19271     1.76762
     1.21836     1.55368
     1.24401     1.37132
     1.26966     1.25628
     1.29531      1.1315
     1.32096     1.01061
     1.34661    0.922853
     1.37226    0.872278
     1.39791     0.82066
     1.42355    0.765438
      1.4492    0.737892
     1.47485    0.713583
      1.5005    0.692373
     1.52615    0.688732
      1.5518    0.688397
     1.57745    0.676097
      1.6031    0.684138
     1.62875    0.684333
      1.6544    0.709214
     1.68005    0.731113
      1.7057    0.763156
     1.73135    0.791615
       1.757    0.828701
     1.78265    0.877414
      1.8083    0.913483
     1.83395    0.967584
      1.8596    0.996268
     1.88525     1.03643
      1.9109     1.08934
     1.93655     1.10712
      1.9622     1.14393
     1.98785     1.17884
      2.0135     1.19998
     2.03915     1.21115
      2.0648     1.22754
     2.09045     1.21456
      2.1161     1.20779
     2.14174     1.18809
     2.16739     1.18732
     2.19304     1.15029
     2.21869     1.12719
     2.24434     1.10284
     2.26999     1.06665
     2.29564     1.03615
     2.32129     1.01239
     2.34694    0.992057
     2.37259    0.965199
     2.39824    0.952458
     2.42389    0.935473
     2.44954    0.929733
     2.47519    0.912646
     2.50084    0.906191
     2.52649    0.890502
     2.55214    0.897109
