#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.41837     1.41837           0
           2     1.40473     1.41155  0.00482422
           3     1.42913     1.41741  0.00576619
           4     1.41591     1.41704   0.0043368
           5     1.42149     1.41793  0.00355982
           6     1.23339     1.38717   0.0282331
           7      1.3754     1.38549   0.0242498
           8     1.37603     1.38431   0.0212474
           9     1.34441     1.37987   0.0193434
          10     1.35556     1.37744   0.0175612
          11     1.21982     1.36311   0.0210129
          12     1.29842     1.35772   0.0199414
          13     1.34958      1.3571   0.0184172
          14     1.42207     1.36174   0.0176769
          15     1.38425     1.36324    0.016562
          16     1.50459     1.37207   0.0177273
          17     1.42116     1.37496    0.016918
          18     1.57036     1.38582   0.0191468
          19     1.45589      1.3895   0.0184908
          20     1.48659     1.39436   0.0181923
