#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80908    -3.80908           0
           2     -3.8157    -3.81239  0.00234138
           3    -3.81242     -3.8124  0.00156095
           4    -3.81028    -3.81187  0.00125703
           5     -3.8168    -3.81286  0.00133718
           6    -3.85042    -3.81912  0.00582257
           7    -3.81823    -3.81899  0.00499213
           8    -3.81783    -3.81885   0.0043702
           9    -3.82484    -3.81951  0.00393503
          10    -3.82034    -3.81959   0.0035424
          11    -3.84158    -3.82159  0.00374198
          12    -3.82962    -3.82226  0.00348949
          13    -3.81862    -3.82198  0.00323233
          14    -3.80923    -3.82107   0.0031271
          15       -3.81    -3.82033  0.00300448
          16    -3.79176    -3.81855  0.00330519
          17    -3.80975    -3.81803  0.00315097
          18    -3.78539    -3.81622   0.0034586
          19    -3.80168    -3.81545  0.00336013
          20    -3.80483    -3.81492  0.00323383
