# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00132142 0.000147402
    0.910562   0.0247812  0.00147865
    0.936212    0.177795  0.00282593
    0.961861    0.590153   0.0050099
    0.987511     1.22618  0.00520394
     1.01316     1.90254  0.00852943
     1.03881     2.36359   0.0118782
     1.06446     2.57257   0.0162481
     1.09011     2.56924   0.0123646
     1.11576     2.40498  0.00787505
     1.14141      2.2053   0.0120885
     1.16706     1.97917  0.00913916
     1.19271     1.76705   0.0101769
     1.21836     1.56553  0.00637379
     1.24401     1.39761   0.0107974
     1.26966     1.25037  0.00816982
     1.29531     1.13496  0.00776106
     1.32096     1.01739    0.007443
     1.34661    0.936574  0.00762018
     1.37226    0.874171  0.00620716
     1.39791    0.819043  0.00459581
     1.42355    0.776841  0.00523376
      1.4492    0.753032  0.00625735
     1.47485    0.727536  0.00466893
      1.5005    0.705363  0.00461597
     1.52615    0.690993   0.0054486
      1.5518     0.68594  0.00590471
     1.57745    0.683786  0.00551987
      1.6031    0.689901  0.00344537
     1.62875    0.702902  0.00469474
      1.6544    0.709316  0.00391478
     1.68005    0.730813  0.00468191
      1.7057    0.757838  0.00461803
     1.73135    0.785406  0.00484966
       1.757    0.823761  0.00455326
     1.78265    0.860172  0.00544051
      1.8083    0.901947  0.00517294
     1.83395    0.950974  0.00454604
      1.8596    0.990329  0.00437813
     1.88525     1.02876   0.0051781
      1.9109     1.07519  0.00604023
     1.93655     1.10435  0.00573854
      1.9622     1.13973  0.00559687
     1.98785     1.17484  0.00356846
      2.0135     1.18849  0.00283784
     2.03915     1.20722   0.0051494
      2.0648     1.22027  0.00451511
     2.09045     1.22471  0.00501625
      2.1161     1.21852  0.00445581
     2.14174     1.20607  0.00457739
     2.16739     1.18259  0.00524573
     2.19304     1.15872  0.00375482
     2.21869     1.13681   0.0047242
     2.24434     1.10066  0.00542276
     2.26999     1.07155  0.00328944
     2.29564     1.04906  0.00468044
     2.32129     1.02206  0.00393396
     2.34694    0.996454  0.00365558
     2.37259    0.966781  0.00358644
     2.39824    0.957273  0.00340757
     2.42389    0.937228  0.00383413
     2.44954     0.92152  0.00388397
     2.47519    0.912141  0.00394348
     2.50084    0.907563  0.00337671
     2.52649    0.902277  0.00339494
     2.55214    0.899521  0.00408257
