#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43237    -5.43237           0
           2     -5.4512    -5.44178  0.00665607
           3    -5.44732    -5.44363  0.00468608
           4    -5.44377    -5.44366   0.0035147
           5    -5.44514    -5.44396  0.00282417
           6    -5.43511    -5.44248  0.00271164
           7    -5.43844    -5.44191  0.00238494
           8    -5.44427     -5.4422  0.00210504
           9    -5.44443    -5.44245  0.00188571
          10    -5.41825    -5.44003  0.00285497
          11    -5.43863     -5.4399  0.00259825
          12    -5.46281    -5.44181  0.00300196
          13    -5.41416    -5.43968    0.003443
          14    -5.43819    -5.43958  0.00319873
          15    -5.46282    -5.44113  0.00333967
          16    -5.45161    -5.44178  0.00319452
          17    -5.44448    -5.44194  0.00301054
          18    -5.47001     -5.4435  0.00322189
          19    -5.46636     -5.4447  0.00326921
          20    -5.42838    -5.44389  0.00320602
