#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45908    -5.45908           0
           2     -5.4657    -5.46239  0.00234138
           3    -5.46242     -5.4624  0.00156095
           4    -5.46028    -5.46187  0.00125703
           5     -5.4668    -5.46286  0.00133718
           6    -5.50042    -5.46912  0.00582257
           7    -5.46823    -5.46899  0.00499213
           8    -5.46783    -5.46885   0.0043702
           9    -5.47484    -5.46951  0.00393503
          10    -5.47034    -5.46959   0.0035424
          11    -5.49158    -5.47159  0.00374198
          12    -5.47962    -5.47226  0.00348949
          13    -5.46862    -5.47198  0.00323233
          14    -5.45923    -5.47107   0.0031271
          15       -5.46    -5.47033  0.00300448
          16    -5.44176    -5.46855  0.00330519
          17    -5.45975    -5.46803  0.00315097
          18    -5.43539    -5.46622   0.0034586
          19    -5.45168    -5.46545  0.00336013
          20    -5.45483    -5.46492  0.00323383
