#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.48254     1.48254           0
           2      1.4731     1.47782  0.00333951
           3     1.45742     1.47102  0.00598225
           4       1.477     1.47251  0.00466951
           5     1.54625     1.48726   0.0137087
           6     1.53032     1.49444   0.0131687
           7     1.53598     1.50037   0.0125537
           8     1.53462     1.50465   0.0116915
           9     1.51478     1.50578   0.0104465
          10     1.65723     1.52092   0.0171711
          11     1.54625     1.52323   0.0157637
          12      1.3749     1.51087   0.0186778
          13     1.61385     1.51879   0.0188463
          14     1.52487     1.51922   0.0175051
          15     1.33976     1.50726   0.0200134
          16     1.38798      1.4998    0.020103
          17     1.49012     1.49923   0.0189286
          18      1.3735     1.49225   0.0191225
          19     1.41657     1.48826   0.0185263
          20     1.58803     1.49325   0.0182592
